Year,Month,Trade,Product,Product_KR,Country,Cases,Quantity_kg
2021,8,Export,Deer velvet extract,녹용추출물,USA,1,3410
2021,8,Import,Dried deer velvet,녹용,China,6,10141.9
2021,8,Import,Dried deer velvet,녹용,Hong Kong,2,800
2021,8,Import,Dried deer velvet,녹용,New Zealand,2,3466.04
2021,8,Import,Dried deer velvet,녹용,Russia,1,711.75
2021,9,Export,Dried deer velvet,녹용,China,1,10
2021,9,Export,Deer velvet extract,녹용추출물,Australia,1,180
2021,9,Export,Deer velvet extract,녹용추출물,USA,2,1281
2021,9,Import,Dried deer velvet,녹용,China,5,6330
2021,9,Import,Dried deer velvet,녹용,Hong Kong,2,2350
2021,9,Import,Dried deer velvet,녹용,Kazakhstan,3,1288
2021,9,Import,Dried deer velvet,녹용,Russia,3,1829
2021,10,Export,Dried deer velvet,녹용,Hong Kong,1,1772.06
2021,10,Export,Deer velvet extract,녹용추출물,USA,5,13383.25
2021,10,Import,Dried deer velvet,녹용,China,6,5008.89
2021,10,Import,Dried deer velvet,녹용,Hong Kong,3,9097
2021,10,Import,Dried deer velvet,녹용,Kazakhstan,1,140
2021,10,Import,Dried deer velvet,녹용,New Zealand,1,1.5
2021,10,Import,Dried deer velvet,녹용,Russia,14,24864.6
2021,10,Import,Frozen deer velvet,생녹용,New Zealand,2,7377
2021,11,Export,Dried deer velvet,녹용,Hong Kong,1,2003.64
2021,11,Export,Deer velvet extract,녹용추출물,USA,1,36
2021,11,Import,Dried deer velvet,녹용,China,6,8377.425
2021,11,Import,Dried deer velvet,녹용,Hong Kong,3,1638.875
2021,11,Import,Dried deer velvet,녹용,New Zealand,2,160
2021,11,Import,Dried deer velvet,녹용,Russia,13,17976.79
2021,11,Import,Frozen deer velvet,생녹용,New Zealand,2,4500
2021,12,Export,Deer velvet extract,녹용추출물,USA,1,270
2021,12,Import,Dried deer velvet,녹용,China,8,8839.25
2021,12,Import,Dried deer velvet,녹용,Hong Kong,3,2700
2021,12,Import,Dried deer velvet,녹용,Russia,5,5466.05
2021,12,Import,Frozen deer velvet,생녹용,New Zealand,4,16000
2022,1,Export,Deer velvet extract,녹용추출물,Australia,1,460
2022,1,Export,Deer velvet extract,녹용추출물,USA,2,829
2022,1,Import,Dried deer velvet,녹용,China,4,5600
2022,1,Import,Dried deer velvet,녹용,Russia,1,1171.44
2022,1,Import,Frozen deer velvet,생녹용,New Zealand,9,33397.5
2022,2,Export,Deer velvet extract,녹용추출물,USA,3,2341.4
2022,2,Import,Dried deer velvet,녹용,China,4,4548.6
2022,2,Import,Dried deer velvet,녹용,Hong Kong,2,3400
2022,2,Import,Dried deer velvet,녹용,New Zealand,4,4561.89
2022,2,Import,Dried deer velvet,녹용,Russia,1,60
2022,2,Import,Frozen deer velvet,생녹용,New Zealand,4,26000
2022,3,Export,Deer velvet extract,녹용추출물,USA,2,6941.8
2022,3,Import,Dried deer velvet,녹용,China,2,1080.258
2022,3,Import,Dried deer velvet,녹용,Hong Kong,6,12223.1
2022,3,Import,Dried deer velvet,녹용,New Zealand,3,5305.64
2022,3,Import,Dried deer velvet,녹용,Russia,1,775
2022,3,Import,Frozen deer velvet,생녹용,New Zealand,3,2670.61
2022,4,Export,Dried deer velvet,녹용,Vietnam,1,220
2022,4,Export,Deer velvet extract,녹용추출물,USA,2,3412.8
2022,4,Import,Dried deer velvet,녹용,China,6,9020
2022,4,Import,Dried deer velvet,녹용,Hong Kong,2,2430
2022,4,Import,Dried deer velvet,녹용,New Zealand,6,5928.71
2022,4,Import,Frozen deer velvet,생녹용,New Zealand,1,1000
2022,5,Export,Deer velvet extract,녹용추출물,USA,3,6597.375
2022,5,Import,Dried deer velvet,녹용,China,7,6053.175
2022,5,Import,Dried deer velvet,녹용,Hong Kong,2,1131.5
2022,5,Import,Dried deer velvet,녹용,New Zealand,2,3094.24
2022,5,Import,Dried deer velvet,녹용,Russia,1,344
2022,5,Import,Frozen deer velvet,생녹용,New Zealand,4,12278.85
2022,6,Export,Deer velvet extract,녹용추출물,USA,1,2.25
2022,6,Import,Dried deer velvet,녹용,China,6,3210
2022,6,Import,Dried deer velvet,녹용,Hong Kong,1,400
2022,6,Import,Dried deer velvet,녹용,Kazakhstan,1,356
2022,6,Import,Dried deer velvet,녹용,New Zealand,3,6086.5
2022,6,Import,Dried deer velvet,녹용,Russia,1,170
2022,6,Import,Frozen deer velvet,생녹용,New Zealand,1,1500
2022,7,Export,Deer velvet extract,녹용추출물,Australia,1,276
2022,7,Export,Deer velvet extract,녹용추출물,USA,2,1226.25
2022,7,Import,Dried deer velvet,녹용,China,7,13500
2022,7,Import,Dried deer velvet,녹용,Hong Kong,2,3050
2022,7,Import,Frozen deer velvet,생녹용,New Zealand,5,17195.15
2022,8,Export,Deer velvet extract,녹용추출물,USA,4,15550.5
2022,8,Import,Dried deer velvet,녹용,China,6,6096
2022,8,Import,Dried deer velvet,녹용,Hong Kong,1,400
2022,8,Import,Dried deer velvet,녹용,New Zealand,4,5659.79
2022,8,Import,Dried deer velvet,녹용,Russia,2,1264
2022,8,Import,Frozen deer velvet,생녹용,New Zealand,1,1502.35
2022,9,Export,Deer velvet extract,녹용추출물,USA,3,1699.5
2022,9,Import,Dried deer velvet,녹용,China,3,4780
2022,9,Import,Dried deer velvet,녹용,Hong Kong,1,400
2022,9,Import,Dried deer velvet,녹용,Kazakhstan,3,1170.1
2022,9,Import,Dried deer velvet,녹용,New Zealand,3,3578.49
2022,9,Import,Dried deer velvet,녹용,Russia,1,2007
2022,9,Import,Frozen deer velvet,생녹용,New Zealand,1,800
2022,10,Import,Dried deer velvet,녹용,China,7,14334.3
2022,10,Import,Dried deer velvet,녹용,New Zealand,3,3485.93
2022,10,Import,Dried deer velvet,녹용,Russia,16,21482.23
