" ","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board"
"2022M04",0,0,6000,586523,5879,2300373,0,0,0,0,20912,3154146,79543,7752387,4257,125622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,102167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022M05",0,0,1279,178078,4903,1671026,0,0,0,0,10573,1415728,30171,3185029,22,11543,0,0,9,8580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,492315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022M06",4905,627779,11991,1189016,4278,1448441,0,0,0,0,7420,355092,32539,3051418,0,0,0,0,0,0,0,0,1108,63254,95,24738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022M07",0,0,2000,181523,0,0,0,0,0,0,10663,950405,30715,4137757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,70589,0,0,0,0,0,0
"2022M08",2981,862618,0,0,4181,1263587,0,0,0,0,0,0,11690,360692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,42444,0,0,500,74100,0,0,0,0,0,0
"2022M09",0,0,0,0,3568,1884885,0,0,0,0,0,0,5137,654240,0,0,0,0,0,0,0,0,0,0,46,38815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,47403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022M10",0,0,1519,144336,2486,1259247,1000,437800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6508,863820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8237,213555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022M11",0,0,5000,550000,0,0,0,0,0,0,0,0,8570,1139710,0,0,0,0,0,0,0,0,0,0,42,35406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4968,125658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022M12",2000,172424,17720,1768891,0,0,0,0,0,0,9413,1120672,46410,4038356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,39225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023M01",0,0,10500,1094175,3593,1904177,1000,395208,0,0,9858,1174299,72553,6139350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023M02",0,0,28490,2862346,3447,1734239,0,0,0,0,25172,2982767,78991,7742809,0,0,0,0,0,0,0,0,0,0,95,82296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,51500,11,1400,0,0,0,0,0,0,0,0,0,0,0,0
"2023M03",500,42710,18000,2111000,6090,2469498,0,0,0,0,15095,1476507,114667,11780267,0,0,0,0,0,0,0,0,0,0,116,20568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,60116,1056,422000,0,0,0,0,0,0,0,0,997,72950,0,0,0,0
"2023M04",0,0,12775,1321452,4128,1455732,1000,400174,0,0,11643,1426947,129589,14302674,0,0,0,0,0,0,0,0,0,0,0,0,10,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,182803,0,0,0,0,0,0,0,0,200,30100,0,0,0,0,0,0
"2023M05",4572,426124,3293,312330,4810,2414617,0,0,126,78438,24645,1051503,80083,6884664,0,0,0,0,0,0,0,0,1000,53434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023M06",5000,573885,5000,550000,4210,1318230,0,0,126,78438,3519,87970,4937,92059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,104757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023M07",2100,181072,6362,664826,4018,1963564,0,0,0,0,6253,213094,7132,571959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023M08",0,0,500,45000,5709,2094034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1100,0,0,0,0,41,36738,0,0,0,0,0,0,0,0,0,0,0,0
"2023M09",0,0,5079,502773,4278,1480878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023M10",0,0,0,0,1584,794585,0,0,500,280000,0,0,3300,297000,0,0,0,0,0,0,0,0,0,0,1344,326673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,48176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023M11",0,0,300,27000,2435,1206241,0,0,0,0,33418,3179028,50150,4949788,0,0,0,0,0,0,0,0,0,0,1831,340289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023M12",5000,494881,5321,532110,0,0,0,0,0,0,81156,6987787,170454,17091361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024M01",0,0,1000,121000,5640,2814432,0,0,0,0,11068,991721,73033,7477114,0,0,0,0,0,0,0,0,0,0,908,52272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024M02",10000,995574,13000,1264447,1185,512701,0,0,0,0,48216,4992868,194263,21190340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024M03",0,0,2000,180000,2073,324500,0,0,0,0,32135,2437401,165970,14402665,0,0,0,0,0,0,416,16838,0,0,2015,200989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,119433,600,374000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024M04",0,0,9096,879805,997,378061,0,0,33,4050,1335,26705,11238,1042473,0,0,0,0,0,0,0,0,0,0,1121,162210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,44601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
