Year,Month,Trade,Basis,HS_Code,Product_KR,Product_EN,Country_KR,Country_EN,Quantity_kg,Value_USD1000
2023,8,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,6479.0,1853.0
2023,8,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,8.0,6.0
2023,8,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,831.0,249.0
2023,8,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,0.0
2023,8,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,383.0,105.0
2023,9,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,5679.0,1546.0
2023,9,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,8.0,5.0
2023,9,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,1352.0,356.0
2023,9,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,카자흐스탄,Kazakhstan,160.0,40.0
2023,9,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,0.0
2023,9,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,343.0,101.0
2023,10,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,19057.0,3356.0
2023,10,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,10.0,8.0
2023,10,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,1919.0,516.0
2023,10,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,카자흐스탄,Kazakhstan,488.0,81.0
2023,10,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,1.0
2023,10,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,745.0,206.0
2023,11,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,10025.0,1987.0
2023,11,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,510.0,176.0
2023,11,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,7069.0,2059.0
2023,11,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,2.0,1.0
2023,11,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,2313.0,483.0
2023,12,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,10812.0,1577.0
2023,12,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,9.0,10.0
2023,12,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,9909.0,2360.0
2023,12,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,카자흐스탄,Kazakhstan,263.0,57.0
2023,12,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,1.0
2023,12,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,500.0,93.0
2024,1,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,20336.0,2880.0
2024,1,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,10.0,9.0
2024,1,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,7764.0,2061.0
2024,1,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,1.0,0.0
2024,1,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,52.0,13.0
2024,2,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,30526.0,4672.0
